# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	36547
#@/user_id	a2539fd9-2f40-4b0c-9b41-1f929aaf0d62
bing pai 	並排	c=2 d=1.49686e-08 t=36547
bo 	撥	c=1 d=9.74117e-16 t=36547
bo cai 	博彩	c=1 d=2.27948e-17 t=36547
bo cai 	菠菜	c=2 d=4.18798e-17 t=36547
bo dong 	波動	c=0 d=6.3378e-19 t=36547
bo fang 	播放	c=9 d=0.096681 t=36547
bo ke 	播客	c=2 d=0.565893 t=36547
bo ke yuan 	博客園	c=1 d=8.14205e-24 t=36547
bu 	不	c=80 d=0.444488 t=36547
bu 	布	c=1 d=1.43036e-05 t=36547
bu 	步	c=3 d=0.0130029 t=36547
bu 	補	c=2 d=1.79464 t=36547
bu ai 	不愛	c=1 d=0.0254765 t=36547
bu ba 	不把	c=1 d=0.000159256 t=36547
bu bao cuo 	不報錯	c=1 d=1.92377e-21 t=36547
bu bao han 	不包含	c=1 d=2.45743e-19 t=36547
bu bei 	不背	c=1 d=0.119433 t=36547
bu bei 	不被	c=1 d=1.05798e-16 t=36547
bu bi yao 	不必要	c=1 d=1.03615e-06 t=36547
bu can yu 	不參與	c=1 d=5.23932e-14 t=36547
bu cha le 	不查了	c=1 d=1.41512e-26 t=36547
bu cheng gong 	不成功	c=1 d=0.00319873 t=36547
bu chi 	不遲	c=1 d=0.2334 t=36547
bu chong 	補充	c=2 d=5.34152e-06 t=36547
bu chu chai 	不出差	c=1 d=2.13712e-23 t=36547
bu chu lai 	不出來	c=2 d=1.84582e-06 t=36547
bu chu li 	不處理	c=2 d=9.26895e-12 t=36547
bu chuan 	不傳	c=3 d=1.19961 t=36547
bu cun zai 	不存在	c=3 d=6.73909e-05 t=36547
bu cuo 	不錯	c=27 d=0.503023 t=36547
bu cuo a 	不錯啊	c=1 d=7.86201e-24 t=36547
bu cuo bu cuo 	不錯不錯	c=2 d=6.83141e-18 t=36547
bu cuo de 	不錯的	c=6 d=0.000837575 t=36547
bu cuo le 	不錯了	c=2 d=0.00701293 t=36547
bu da 	不大	c=11 d=1.01796 t=36547
bu da ka 	不打卡	c=2 d=3.74725e-12 t=36547
bu da rao 	不打擾	c=1 d=3.59102e-11 t=36547
bu da you xi 	不打遊戲	c=1 d=4.01964e-14 t=36547
bu dai 	不帶	c=2 d=4.47545e-13 t=36547
bu dan xin 	不擔心	c=2 d=1.10068e-06 t=36547
bu dao 	不到	c=10 d=0.000147887 t=36547
bu deng lu 	不登錄	c=1 d=4.57845e-16 t=36547
bu dong 	不動	c=3 d=3.94822e-09 t=36547
bu dong 	不懂	c=2 d=2.9043e-14 t=36547
bu dui 	不對	c=26 d=0.0431667 t=36547
bu dui jin 	不對勁	c=1 d=4.41872e-10 t=36547
bu dui le 	不對了	c=1 d=8.62614e-27 t=36547
bu duo 	不多	c=6 d=0.442639 t=36547
bu fan 	不煩	c=1 d=1.23301e-23 t=36547
bu fang 	不放	c=1 d=3.66357e-18 t=36547
bu fang bian 	不方便	c=7 d=8.40369e-06 t=36547
bu fang jia 	不放家	c=1 d=5.18895e-18 t=36547
bu fen 	部分	c=24 d=0.8925 t=36547
bu fu he 	不符合	c=3 d=0.000867409 t=36547
bu gan 	不敢	c=2 d=0.00794669 t=36547
bu gen wo 	不跟我	c=1 d=0.000267872 t=36547
bu gou 	不夠	c=3 d=0.000522135 t=36547
bu gou hao 	不夠好	c=1 d=2.77556e-10 t=36547
bu gou yong 	不夠用	c=1 d=0.00524752 t=36547
bu gu ding 	不固定	c=1 d=2.78179e-07 t=36547
bu guan 	不管	c=5 d=9.19866e-09 t=36547
bu guan shi 	不管是	c=1 d=5.53932e-22 t=36547
bu guo 	不過	c=17 d=0.142987 t=36547
bu guo lai 	不過來	c=1 d=0.113608 t=36547
bu guo qu 	不過去	c=0 d=0.000167826 t=36547
bu hao 	不好	c=8 d=0.26054 t=36547
bu hao yi si 	不好意思	c=1 d=1.32561e-22 t=36547
bu hao yong 	不好用	c=1 d=3.93455e-27 t=36547
bu hao zhao 	不好找	c=1 d=9.05145e-05 t=36547
bu he fa 	不合法	c=1 d=0.548812 t=36547
bu he ta 	不和他	c=1 d=1.2454e-23 t=36547
bu huang 	不慌	c=1 d=0.0359725 t=36547
bu hui 	不回	c=3 d=9.17752e-13 t=36547
bu hui 	不會	c=26 d=0.780612 t=36547
bu hui ba 	不會吧	c=1 d=0.131336 t=36547
bu hui fu 	不回覆	c=1 d=1.26861e-05 t=36547
bu hui le 	不會了	c=1 d=4.13923e-06 t=36547
bu hui shi 	不會是	c=1 d=0.133989 t=36547
bu hui xie 	不會寫	c=1 d=1.87302e-30 t=36547
bu ji 	不急	c=2 d=4.84902e-15 t=36547
bu ji de 	不記得	c=1 d=1.60354e-26 t=36547
bu ji suan 	不計算	c=1 d=1.70739e-29 t=36547
bu jia 	不加	c=1 d=4.61018e-09 t=36547
bu jia ban 	不加班	c=2 d=0.00190556 t=36547
bu jian rong 	不兼容	c=1 d=2.5175e-09 t=36547
bu jiao 	不叫	c=1 d=5.27741e-11 t=36547
bu jiao 	補繳	c=1 d=7.11263e-22 t=36547
bu jie 	不接	c=1 d=2.81894e-16 t=36547
bu jin qu 	不進去	c=0 d=4.22429e-11 t=36547
bu jin shen 	不進審	c=1 d=2.05122e-11 t=36547
bu jing que 	不精確	c=1 d=0.0057994 t=36547
bu jiu shi 	不就是	c=1 d=0.000181365 t=36547
bu ju 	佈局	c=1 d=4.52427e-23 t=36547
bu kan 	不看	c=2 d=0.484325 t=36547
bu ke 	不可	c=1 d=4.33196e-12 t=36547
bu ke yi 	不可以	c=1 d=0.0150707 t=36547
bu kuo yi 	不闊以	c=1 d=5.73468e-18 t=36547
bu lao 	不老	c=1 d=2.09843e-14 t=36547
bu le 	不了	c=1 d=0.00522135 t=36547
bu le yi 	不了一	c=1 d=1.48131e-05 t=36547
bu li 	不理	c=1 d=6.93348e-16 t=36547
bu li kai 	不離開	c=1 d=2.44859e-06 t=36547
bu li ta 	不理他	c=1 d=6.67545e-11 t=36547
bu li yu 	不利於	c=1 d=4.08177e-18 t=36547
bu lian wang 	不聯網	c=1 d=7.7518e-05 t=36547
bu liao 	不了	c=6 d=0.0228779 t=36547
bu liao le 	不了了	c=0 d=9.00938e-10 t=36547
bu lun 	不論	c=1 d=7.75708e-13 t=36547
bu ma fan 	不麻煩	c=1 d=0.337902 t=36547
bu man 	不慢	c=1 d=0.118837 t=36547
bu man 	不滿	c=2 d=0.000845993 t=36547
bu men 	部門	c=2 d=4.06809e-15 t=36547
bu nan 	不難	c=4 d=1.2614e-28 t=36547
bu neng 	不能	c=36 d=0.331211 t=36547
bu neng zou 	不能走	c=1 d=2.31511e-23 t=36547
bu pa 	不怕	c=1 d=3.47944e-22 t=36547
bu pai chi 	不排斥	c=1 d=1.83593e-30 t=36547
bu pai zhao 	不拍照	c=1 d=5.39319e-31 t=36547
bu pin fan 	不頻繁	c=2 d=1.28158e-07 t=36547
bu qi 	補齊	c=1 d=0.000578542 t=36547
bu qin kuai 	不勤快	c=1 d=1.93677e-12 t=36547
bu qing chu 	不清楚	c=12 d=0.145248 t=36547
bu quan 	不全	c=1 d=0.00358858 t=36547
bu quan 	補全	c=9 d=0.951034 t=36547
bu que 	不缺	c=2 d=3.55904e-19 t=36547
bu que ding 	不確定	c=8 d=0.433728 t=36547
bu ran 	不然	c=9 d=0.255415 t=36547
bu rang 	不讓	c=1 d=7.76501e-25 t=36547
bu rang wo 	不讓我	c=1 d=2.08655e-06 t=36547
bu rong yi 	不容易	c=1 d=3.07802e-21 t=36547
bu ru 	不如	c=2 d=0.0742736 t=36547
bu shang 	不上	c=0 d=3.89951e-11 t=36547
bu shang 	補上	c=2 d=3.48667e-17 t=36547
bu shang qu 	不上去	c=0 d=0.000323088 t=36547
bu shang xian 	不上線	c=2 d=0.000266536 t=36547
bu shao 	不少	c=14 d=0.337902 t=36547
bu shao de 	不少的	c=1 d=0.852144 t=36547
bu shao ren 	不少人	c=1 d=6.03814e-07 t=36547
bu shao shi qing 	不少事情	c=1 d=1.3445e-12 t=36547
bu shen he 	不審覈	c=1 d=1.60081e-06 t=36547
bu sheng xiao 	不生效	c=2 d=0.090718 t=36547
bu shi 	不是	c=75 d=1.21325 t=36547
bu shi de 	不是的	c=1 d=7.16557e-21 t=36547
bu shi ge 	不是個	c=1 d=3.63526e-08 t=36547
